[2024-12-21 14:45:54] [check_init_dialog_box]
[2024-12-21 14:45:59] 	[X] get_actions_offline_earning_close_box
[2024-12-21 14:49:24] 	Close Factory 110, 1283
[2024-12-21 14:49:27] 	[O] Skill Upgrade
[2024-12-21 14:49:31] 	[X] BOX Open
[2024-12-21 14:49:31] 	Open Factory 110, 1283
[2024-12-21 14:49:34] 	[X] Unlock Factory
[2024-12-21 14:49:34] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:49:36] 	Close Factory 110, 1283
[2024-12-21 14:49:39] 	[O] Skill Upgrade
[2024-12-21 14:49:43] 	[X] BOX Open
[2024-12-21 14:49:43] 	Open Factory 110, 1283
[2024-12-21 14:49:46] 	[X] Unlock Factory
[2024-12-21 14:49:46] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:49:49] 	Close Factory 110, 1283
[2024-12-21 14:49:51] 	[O] Skill Upgrade
[2024-12-21 14:49:55] 	[X] BOX Open
[2024-12-21 14:49:55] 	Open Factory 110, 1283
[2024-12-21 14:49:58] 	Close Factory 110, 1283
[2024-12-21 14:49:58] [find factory to upgrade] 6 / 10
[2024-12-21 14:50:02] 	[O] Skill Upgrade
[2024-12-21 14:50:07] 	[O] Open Box 547, 1055
[2024-12-21 14:50:07] 	[O] Open Box 223, 1055
[2024-12-21 14:50:08] 	[O] Open Box 331, 1055
[2024-12-21 14:50:08] 	[O] Open Box 647, 780
[2024-12-21 14:50:08] 	Open Factory 110, 1751
[2024-12-21 14:50:11] 	[O] Unlock Factory
[2024-12-21 14:50:12] 	Close Factory 110, 1751
[2024-12-21 14:50:14] 	[O] Skill Upgrade
[2024-12-21 14:50:19] 	[X] BOX Open
[2024-12-21 14:50:19] 	Open Factory 110, 1751
[2024-12-21 14:50:21] 	[X] Unlock Factory
[2024-12-21 14:50:22] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:50:24] 	Close Factory 110, 1751
[2024-12-21 14:50:27] 	[O] Skill Upgrade
[2024-12-21 14:50:31] 	[X] BOX Open
[2024-12-21 14:50:31] 	Open Factory 110, 1751
[2024-12-21 14:50:34] 	[X] Unlock Factory
[2024-12-21 14:50:34] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:50:37] 	Close Factory 110, 1751
[2024-12-21 14:50:39] 	[O] Skill Upgrade
[2024-12-21 14:50:43] 	[X] BOX Open
[2024-12-21 14:50:43] 	Open Factory 110, 1751
[2024-12-21 14:50:46] 	[X] Unlock Factory
[2024-12-21 14:50:46] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:50:49] 	Close Factory 110, 1751
[2024-12-21 14:50:51] 	[X] Skill Upgrade
[2024-12-21 14:50:53] 	[X] BOX Open
[2024-12-21 14:50:53] 	Open Factory 110, 1751
